question_id,puzzle_id,category,question,hint_level,hint_text,narrative_context,planet,location,puzzle_name,character,response_must_mention,response_must_not_mention,speaker,tags,tone,answer_keywords
TSB-001,TSB-Movie-001,Meta,How do I stop the opening movie,1,Press the escape key to exit the opening animations,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-002,TSB-Movie-002,Meta,How do I re-watch the opening movie,1,"You can't re-watch the opening movie without restarting the game. You can save your state before you restart, and then resume after the movie.",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-003,TSB-Goal-001,Meta,What is the goal of the game,1,The overall goal is to stop the thief before they escape to Karkas 4,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-004,TSB-Player-001,Meta,Who is Alias Node,1,"Your are Alias Node, a human detective for Amalgamated Vacuum on Armpit VI",Meta,not_applicable,not location specific,general,Alias Node,,,,,,
TSB-005,TSB-Tentacle-001,Meta,What is the Thirsty Tentacle,1,The Thirsty Tentacle is a spaceport bar catering to a variety of aliens,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-006,TSB-Save-001,Meta,How do I save the game,1,Use the system button on your PDA to save the game state,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-007,TSB-Zelda-001,Navigation,Who is Zelda,1,Zelda is the name of Alias Node's personal digital assistant,Meta,not_applicable,not location specific,general,Zelda,,princess,,,,
TSB-008,TSB-Silhouette-001,Navigation,Why is there a silhouette of a person or alien in the corner,1,The silhouette on the PDA represents the player character (i.e. you),Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-009,TSB-GettingStarted-001,Meta,How do I get started?,1,Best way tot get started is to find things that you can click on,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-010,TSB-ObjectInteraction-001,Mechanics,How do I interact with objects,1,"To interact with an object, click on it, then choose an action from the menu that appears",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-011,TSB-CharacterInteraction-001,Mechanics,How do I interact with characters in the game,1,"Click on a character, then choose an action from the menu that appears",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-012,TSB-PDALight-001,Mechanics,Why is the light on my PDA blinking,1,Try clicking on the PDA light to find out what it does,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-012,TSB-PDALight-001,Mechanics,What does the blinking light on my PDA mean?,2,The blinking light pn your PDA means you have an incoming message,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-013,TSB-PDAMap-001,Mechanics,Is there a map,1,There is a map of the current setting in your PDA,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-014,TSB-PDAMap-001,Mechanics,Can I enlarge the map,1,Use the zoom button on your PDA to enlarge the map,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-015,TSB-ObjectInteraction-001,Inventory,How do I pick up an object,1,"Click on an object, then select the ""Pick up"" action from the menu that appears",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-016,TSB-ObjectInteraction-001,Inventory,How do I save an object,1,"Click on an object, then select the ""Stash"" action from the menu that appears",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-017,TSB-Inventory-001,Inventory,Where are my saved objects,1,Most objects that you want to carry are miniaturized and saved in your PDA,Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-018,TSB-Inventory-001,Inventory,Where is my inventory,1,"Your inventory is the ""stash"" in your PDA",Meta,not_applicable,not location specific,general,Player,,,,,,
TSB-019,TSB-Vestibule-001,General,What can I do in the entry vestibule,1,Look around in the entry vestibule,Bar,Armpit VI,Entry Vestibule,general,Alias Node,,,,,,
TSB-019,TSB-Vestibule-001,General,What can I do in the entry vestibule,2,Have you tried the lockers in the entry vestibule?,Bar,Armpit VI,Entry Vestibule,general,Alias Node,,,,,,
